,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
City of Milwaukee Ward 323 ,363,262,203,58,0,1,0,0
City of Milwaukee Ward 324 ,175,111,84,26,0,0,1,0
City of Milwaukee Ward 325 ,477,381,299,74,0,5,2,1
City of Milwaukee Ward 326 ,4,5,2,3,0,0,0,0
City of Milwaukee Ward 327 ,0,0,0,0,0,0,0,0
"Village of Bayside Wards 1,3  ",1194,1057,719,323,0,4,2,1
"Village of Bayside Wards 1S,3S ",73,72,47,24,0,0,0,0
"Village of Bayside Wards 2,4  ",1393,1263,911,327,1,7,3,5
Village of Bayside Ward 5 ,769,712,508,192,0,5,1,0
"V. Brown Deer Wards 1,2 ",2807,2498,1891,553,4,22,5,13
"V. Brown Deer Wards 3,4 ",2731,2495,1684,772,4,25,0,5
"V. Brown Deer Wards 5,6 ",2737,2483,1749,686,6,18,7,11
"City of Cudahy Wards 1,2,3 ",2300,1991,1225,729,2,20,1,7
"City of Cudahy Wards 4,5,6 ",2092,1821,983,797,2,30,1,6
"City of Cudahy Wards 7,8,9 ",1914,1600,857,715,1,20,0,2
"City of Cudahy Wards 10,11,12  ",2237,1926,963,936,3,12,3,7
"City of Cudahy Wards 13,14,15  ",2509,2193,1118,1050,1,15,1,4
"V. Fox Point Wards 1,2,3,4 ",2413,2210,1533,641,3,12,1,11
"V. Fox Point Wards 5,6,7,8,9  ",3021,2793,1959,788,0,26,3,10
City of Franklin Ward 1 ,2,1,0,1,0,0,0,0
City of Franklin Ward 2 ,1616,1537,631,878,0,20,0,2
City of Franklin Ward 3 ,1715,1603,751,823,1,13,3,7
City of Franklin Ward 4 ,892,799,321,470,0,4,1,2
City of Franklin Ward 5 ,692,661,286,369,1,1,2,0
City of Franklin Ward 6 ,1186,1098,495,582,2,11,1,2
City of Franklin Ward 7 ,1499,1439,650,777,0,6,2,2
City of Franklin Ward 8 ,1051,1007,553,428,0,17,0,4
City of Franklin Ward 9 ,1084,1005,522,469,2,8,1,1
City of Franklin Ward 10 ,472,447,242,197,2,4,0,1
City of Franklin Ward 11 ,1305,1212,540,653,0,10,0,0
City of Franklin Ward 12 ,943,851,337,502,3,4,2,1
City of Franklin Ward 13 ,1275,1205,552,635,2,9,0,2
City of Franklin Ward 14 ,1117,1035,494,528,1,5,3,2
City of Franklin Ward 15A ,621,543,209,330,0,4,0,0
City of Franklin Ward 15B ,430,391,177,207,1,3,1,1
City of Franklin Ward 16 ,1337,1244,528,692,2,10,3,4
City of Franklin Ward 17 ,809,759,396,350,2,6,0,3
City of Franklin Ward 18 ,498,472,212,256,1,2,1,0
City of Franklin Ward 19 ,1371,1281,557,712,0,8,1,1
City of Franklin Ward 20 ,714,677,329,339,1,5,2,1
City of Franklin Ward 21 ,352,312,174,127,0,8,0,2
City of Franklin Ward 22A ,759,718,317,396,1,3,0,1
City of Franklin Ward 22B ,702,680,280,386,2,3,0,6
City of Franklin Ward 23 ,1339,1279,493,763,1,17,0,1
"City of Glendale Wards 1,7 ",1473,1368,984,347,0,23,4,5
"City of Glendale Wards 2,8S ",1038,937,712,212,2,4,0,5
City of Glendale Ward 8 ,571,532,356,172,0,1,0,0
"City of Glendale Wards 3,9 ",1688,1550,1053,459,0,26,2,6
