Chicago Board of Election Commissioners,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%,
1067190,877852,82.26%,172402,16.15%,5826,0.55%,2519,0.24%,1331,0.12%,7260,0.68%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
24,376,356,94.68%,16,4.26%,1,0.27%,1,0.27%,2,0.53%,0,0%
25,380,335,88.16%,37,9.74%,3,0.79%,2,0.53%,3,0.79%,0,0%
26,332,312,93.98%,16,4.82%,2,0.60%,2,0.60%,0,0%,0,0%
27,354,344,97.18%,4,1.13%,3,0.85%,0,0%,0,0%,3,0.85%
28,345,318,92.17%,21,6.09%,4,1.16%,1,0.29%,0,0%,1,0.29%
29,389,367,94.34%,17,4.37%,3,0.77%,0,0%,0,0%,2,0.51%
30,347,322,92.80%,22,6.34%,1,0.29%,0,0%,1,0.29%,1,0.29%
31,324,289,89.20%,29,8.95%,2,0.62%,1,0.31%,1,0.31%,2,0.62%
32,535,512,95.70%,20,3.74%,2,0.37%,1,0.19%,0,0%,0,0%
33,530,511,96.42%,16,3.02%,2,0.38%,1,0.19%,0,0%,0,0%
34,522,502,96.17%,14,2.68%,5,0.96%,1,0.19%,0,0%,0,0%
35,466,440,94.42%,21,4.51%,2,0.43%,2,0.43%,0,0%,1,0.21%
36,518,496,95.75%,18,3.47%,3,0.58%,1,0.19%,0,0%,0,0%
37,451,425,94.24%,22,4.88%,3,0.67%,1,0.22%,0,0%,0,0%
38,379,367,96.83%,9,2.37%,1,0.26%,1,0.26%,0,0%,1,0.26%
39,397,388,97.73%,8,2.02%,1,0.25%,0,0%,0,0%,0,0%
40,370,358,96.76%,8,2.16%,2,0.54%,0,0%,0,0%,2,0.54%
41,412,394,95.63%,12,2.91%,2,0.49%,0,0%,2,0.49%,2,0.49%
42,390,382,97.95%,7,1.79%,0,0%,0,0%,1,0.26%,0,0%
43,407,388,95.33%,17,4.18%,1,0.25%,0,0%,0,0%,1,0.25%
44,375,358,95.47%,11,2.93%,2,0.53%,2,0.53%,2,0.53%,0,0%
45,468,443,94.66%,19,4.06%,0,0%,0,0%,5,1.07%,1,0.21%
46,173,165,95.38%,5,2.89%,2,1.16%,1,0.58%,0,0%,0,0%
Total,19304,18317,94.89%,778,4.03%,100,0.52%,45,0.23%,29,0.15%,35,0.18%
,,,,,,,,,,,,,
Ward 8,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,361,343,95.01%,10,2.77%,5,1.39%,2,0.55%,0,0%,1,0.28%
2,425,405,95.29%,16,3.76%,0,0%,1,0.24%,3,0.71%,0,0%
3,483,471,97.52%,8,1.66%,3,0.62%,0,0%,1,0.21%,0,0%
4,488,478,97.95%,7,1.43%,2,0.41%,0,0%,0,0%,1,0.20%
5,468,455,97.22%,7,1.50%,4,0.85%,2,0.43%,0,0%,0,0%
6,438,417,95.21%,17,3.88%,2,0.46%,1,0.23%,0,0%,1,0.23%
7,499,469,93.99%,28,5.61%,0,0%,1,0.20%,1,0.20%,0,0%
8,438,422,96.35%,13,2.97%,1,0.23%,0,0%,0,0%,2,0.46%
9,286,277,96.85%,9,3.15%,0,0%,0,0%,0,0%,0,0%
10,544,522,95.96%,18,3.31%,2,0.37%,1,0.18%,0,0%,1,0.18%
11,374,354,94.65%,14,3.74%,3,0.80%,1,0.27%,2,0.53%,0,0%
12,395,374,94.68%,19,4.81%,0,0%,1,0.25%,1,0.25%,0,0%
13,526,502,95.44%,17,3.23%,5,0.95%,0,0%,0,0%,2,0.38%
14,396,374,94.44%,16,4.04%,1,0.25%,3,0.76%,0,0%,2,0.51%
15,423,400,94.56%,16,3.78%,3,0.71%,1,0.24%,0,0%,3,0.71%
16,152,142,93.42%,9,5.92%,1,0.66%,0,0%,0,0%,0,0%
17,388,375,96.65%,7,1.80%,3,0.77%,1,0.26%,1,0.26%,1,0.26%
18,445,419,94.16%,24,5.39%,1,0.22%,1,0.22%,0,0%,0,0%
19,477,457,95.81%,17,3.56%,3,0.63%,0,0%,0,0%,0,0%
20,508,490,96.46%,13,2.56%,1,0.20%,3,0.59%,0,0%,1,0.20%
21,588,566,96.26%,19,3.23%,2,0.34%,0,0%,0,0%,1,0.17%
22,419,396,94.51%,16,3.82%,3,0.72%,3,0.72%,0,0%,1,0.24%
23,377,365,96.82%,10,2.65%,1,0.27%,0,0%,1,0.27%,0,0%
24,257,247,96.11%,7,2.72%,2,0.78%,0,0%,1,0.39%,0,0%
25,460,431,93.70%,24,5.22%,1,0.22%,2,0.43%,2,0.43%,0,0%
26,414,399,96.38%,11,2.66%,1,0.24%,1,0.24%,0,0%,2,0.48%
27,500,476,95.20%,21,4.20%,2,0.40%,0,0%,1,0.20%,0,0%
28,445,426,95.73%,17,3.82%,1,0.22%,1,0.22%,0,0%,0,0%
29,501,480,95.81%,14,2.79%,5,1.00%,1,0.20%,0,0%,1,0.20%
30,495,467,94.34%,16,3.23%,8,1.62%,0,0%,2,0.40%,2,0.40%
31,353,335,94.90%,15,4.25%,1,0.28%,1,0.28%,0,0%,1,0.28%
32,361,346,95.84%,10,2.77%,3,0.83%,1,0.28%,0,0%,1,0.28%
33,376,358,95.21%,14,3.72%,2,0.53%,1,0.27%,1,0.27%,0,0%
34,418,407,97.37%,10,2.39%,0,0%,1,0.24%,0,0%,0,0%
35,514,493,95.91%,14,2.72%,4,0.78%,0,0%,0,0%,3,0.58%
36,446,433,97.09%,8,1.79%,1,0.22%,2,0.45%,1,0.22%,1,0.22%
37,354,345,97.46%,6,1.69%,2,0.56%,1,0.28%,0,0%,0,0%
38,337,331,98.22%,5,1.48%,0,0%,0,0%,1,0.30%,0,0%
39,440,427,97.05%,7,1.59%,4,0.91%,1,0.23%,0,0%,1,0.23%
40,372,361,97.04%,10,2.69%,0,0%,0,0%,0,0%,1,0.27%
41,493,474,96.15%,15,3.04%,3,0.61%,0,0%,1,0.20%,0,0%
42,573,552,96.34%,17,2.97%,2,0.35%,0,0%,0,0%,2,0.35%
43,257,238,92.61%,15,5.84%,2,0.78%,2,0.78%,0,0%,0,0%
44,345,329,95.36%,11,3.19%,1,0.29%,1,0.29%,1,0.29%,2,0.58%
45,401,382,95.26%,13,3.24%,5,1.25%,0,0%,0,0%,1,0.25%
46,361,340,94.18%,17,4.71%,1,0.28%,3,0.83%,0,0%,0,0%
47,379,359,94.72%,18,4.75%,1,0.26%,0,0%,0,0%,1,0.26%
48,425,411,96.71%,9,2.12%,2,0.47%,1,0.24%,2,0.47%,0,0%
49,413,397,96.13%,14,3.39%,2,0.48%,0,0%,0,0%,0,0%
50,449,429,95.55%,14,3.12%,4,0.89%,1,0.22%,1,0.22%,0,0%
51,459,443,96.51%,14,3.05%,1,0.22%,0,0%,0,0%,1,0.22%
52,550,536,97.45%,12,2.18%,1,0.18%,0,0%,0,0%,1,0.18%
53,272,259,95.22%,9,3.31%,3,1.10%,1,0.37%,0,0%,0,0%
54,389,351,90.23%,27,6.94%,6,1.54%,2,0.51%,2,0.51%,1,0.26%
55,356,337,94.66%,16,4.49%,0,0%,3,0.84%,0,0%,0,0%
56,461,451,97.83%,5,1.08%,3,0.65%,2,0.43%,0,0%,0,0%
Total,23524,22523,95.74%,765,3.25%,120,0.51%,51,0.22%,26,0.11%,39,0.17%
,,,,,,,,,,,,,
Ward 9,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,433,415,95.84%,14,3.23%,1,0.23%,0,0%,0,0%,3,0.69%
2,344,330,95.93%,9,2.62%,1,0.29%,2,0.58%,2,0.58%,0,0%
3,323,304,94.12%,14,4.33%,2,0.62%,1,0.31%,2,0.62%,0,0%
4,333,327,98.20%,3,0.90%,2,0.60%,0,0%,1,0.30%,0,0%
5,423,411,97.16%,7,1.65%,1,0.24%,2,0.47%,1,0.24%,1,0.24%
6,390,378,96.92%,9,2.31%,2,0.51%,0,0%,1,0.26%,0,0%
7,330,310,93.94%,17,5.15%,2,0.61%,0,0%,1,0.30%,0,0%
8,456,431,94.52%,20,4.39%,3,0.66%,1,0.22%,0,0%,1,0.22%
9,498,485,97.39%,10,2.01%,1,0.20%,2,0.40%,0,0%,0,0%
10,335,323,96.42%,10,2.99%,1,0.30%,0,0%,1,0.30%,0,0%
11,312,297,95.19%,14,4.49%,0,0%,0,0%,1,0.32%,0,0%
12,484,454,93.80%,25,5.17%,3,0.62%,0,0%,0,0%,2,0.41%
13,480,466,97.08%,12,2.50%,2,0.42%,0,0%,0,0%,0,0%
14,480,461,96.04%,17,3.54%,1,0.21%,1,0.21%,0,0%,0,0%
15,563,526,93.43%,30,5.33%,2,0.36%,2,0.36%,1,0.18%,2,0.36%
16,405,386,95.31%,13,3.21%,3,0.74%,1,0.25%,1,0.25%,1,0.25%
17,341,325,95.31%,10,2.93%,3,0.88%,1,0.29%,1,0.29%,1,0.29%
18,312,306,98.08%,4,1.28%,0,0%,2,0.64%,0,0%,0,0%
19,417,405,97.12%,8,1.92%,2,0.48%,1,0.24%,1,0.24%,0,0%
20,406,389,95.81%,10,2.46%,3,0.74%,3,0.74%,1,0.25%,0,0%
21,412,394,95.63%,17,4.13%,0,0%,0,0%,0,0%,1,0.24%
22,465,435,93.55%,26,5.59%,4,0.86%,0,0%,0,0%,0,0%
23,476,461,96.85%,10,2.10%,2,0.42%,2,0.42%,1,0.21%,0,0%
24,431,409,94.90%,16,3.71%,2,0.46%,2,0.46%,1,0.23%,1,0.23%
25,413,399,96.61%,10,2.42%,1,0.24%,1,0.24%,0,0%,2,0.48%
26,539,508,94.25%,24,4.45%,2,0.37%,3,0.56%,1,0.19%,1,0.19%
27,358,345,96.37%,9,2.51%,2,0.56%,1,0.28%,1,0.28%,0,0%
28,277,251,90.61%,26,9.39%,0,0%,0,0%,0,0%,0,0%
29,381,363,95.28%,15,3.94%,2,0.52%,0,0%,0,0%,1,0.26%
30,360,339,94.17%,21,5.83%,0,0%,0,0%,0,0%,0,0%
31,343,326,95.04%,14,4.08%,1,0.29%,1,0.29%,0,0%,1,0.29%
32,428,405,94.63%,21,4.91%,2,0.47%,0,0%,0,0%,0,0%
33,332,316,95.18%,14,4.22%,2,0.60%,0,0%,0,0%,0,0%
34,359,338,94.15%,17,4.74%,3,0.84%,0,0%,0,0%,1,0.28%
35,390,371,95.13%,13,3.33%,2,0.51%,2,0.51%,0,0%,2,0.51%
36,370,359,97.03%,7,1.89%,2,0.54%,1,0.27%,0,0%,1,0.27%
37,640,544,85.00%,82,12.81%,7,1.09%,4,0.63%,0,0%,3,0.47%
38,418,400,95.69%,13,3.11%,3,0.72%,1,0.24%,1,0.24%,0,0%
39,448,437,97.54%,9,2.01%,1,0.22%,1,0.22%,0,0%,0,0%
40,471,453,96.18%,13,2.76%,2,0.42%,2,0.42%,0,0%,1,0.21%
41,362,345,95.30%,14,3.87%,2,0.55%,1,0.28%,0,0%,0,0%
42,440,422,95.91%,14,3.18%,4,0.91%,0,0%,0,0%,0,0%
43,401,375,93.52%,19,4.74%,2,0.50%,1,0.25%,0,0%,4,1.00%
44,357,349,97.76%,8,2.24%,0,0%,0,0%,0,0%,0,0%
45,356,343,96.35%,9,2.53%,3,0.84%,1,0.28%,0,0%,0,0%
46,400,373,93.25%,22,5.50%,4,1.00%,0,0%,0,0%,1,0.25%
47,442,431,97.51%,5,1.13%,4,0.90%,0,0%,0,0%,2,0.45%
48,449,434,96.66%,13,2.90%,1,0.22%,0,0%,1,0.22%,0,0%
49,465,451,96.99%,11,2.37%,0,0%,0,0%,0,0%,3,0.65%
50,595,572,96.13%,18,3.03%,3,0.50%,0,0%,1,0.17%,1,0.17%
51,409,394,96.33%,12,2.93%,1,0.24%,1,0.24%,1,0.24%,0,0%
Total,21052,20071,95.34%,778,3.70%,99,0.47%,44,0.21%,23,0.11%,37,0.18%
,,,,,,,,,,,,,
Ward 10,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,364,330,90.66%,29,7.97%,1,0.27%,1,0.27%,0,0%,3,0.82%
2,441,260,58.96%,174,39.46%,4,0.91%,0,0%,1,0.23%,2,0.45%
3,489,315,64.42%,169,34.56%,3,0.61%,0,0%,0,0%,2,0.41%
4,353,320,90.65%,30,8.50%,0,0%,2,0.57%,0,0%,1,0.28%
5,383,243,63.45%,133,34.73%,3,0.78%,2,0.52%,0,0%,2,0.52%
6,383,292,76.24%,87,22.72%,1,0.26%,2,0.52%,0,0%,1,0.26%
7,340,278,81.76%,57,16.76%,1,0.29%,2,0.59%,0,0%,2,0.59%
8,254,232,91.34%,19,7.48%,2,0.79%,0,0%,0,0%,1,0.39%
9,449,280,62.36%,167,37.19%,0,0%,1,0.22%,0,0%,1,0.22%
10,504,366,72.62%,132,26.19%,1,0.20%,1,0.20%,1,0.20%,3,0.60%
11,558,438,78.49%,110,19.71%,1,0.18%,6,1.08%,0,0%,3,0.54%
12,319,235,73.67%,81,25.39%,0,0%,1,0.31%,1,0.31%,1,0.31%
13,415,360,86.75%,50,12.05%,1,0.24%,0,0%,1,0.24%,3,0.72%
14,587,455,77.51%,127,21.64%,3,0.51%,1,0.17%,0,0%,1,0.17%
15,758,725,95.65%,24,3.17%,6,0.79%,2,0.26%,0,0%,1,0.13%
16,359,243,67.69%,108,30.08%,6,1.67%,0,0%,0,0%,2,0.56%
17,619,391,63.17%,216,34.89%,6,0.97%,2,0.32%,0,0%,4,0.65%
18,268,250,93.28%,15,5.60%,1,0.37%,1,0.37%,0,0%,1,0.37%
19,476,330,69.33%,139,29.20%,5,1.05%,0,0%,1,0.21%,1,0.21%
20,467,365,78.16%,97,20.77%,2,0.43%,2,0.43%,0,0%,1,0.21%
21,476,350,73.53%,119,25.00%,3,0.63%,3,0.63%,1,0.21%,0,0%
22,269,217,80.67%,48,17.84%,0,0%,0,0%,2,0.74%,2,0.74%
23,401,328,81.80%,66,16.46%,7,1.75%,0,0%,0,0%,0,0%
24,480,281,58.54%,195,40.63%,2,0.42%,0,0%,0,0%,2,0.42%
25,120,113,94.17%,5,4.17%,0,0%,1,0.83%,0,0%,1,0.83%
26,321,271,84.42%,42,13.08%,3,0.93%,3,0.93%,0,0%,2,0.62%
27,409,372,90.95%,35,8.56%,0,0%,1,0.24%,0,0%,1,0.24%
28,515,421,81.75%,88,17.09%,3,0.58%,1,0.19%,0,0%,2,0.39%
29,481,391,81.29%,83,17.26%,2,0.42%,1,0.21%,1,0.21%,3,0.62%
30,415,328,79.04%,76,18.31%,1,0.24%,6,1.45%,1,0.24%,3,0.72%
31,379,325,85.75%,51,13.46%,2,0.53%,1,0.26%,0,0%,0,0%
32,481,362,75.26%,116,24.12%,0,0%,2,0.42%,0,0%,1,0.21%
33,347,293,84.44%,50,14.41%,1,0.29%,2,0.58%,0,0%,1,0.29%
34,320,283,88.44%,34,10.63%,1,0.31%,2,0.63%,0,0%,0,0%
35,487,317,65.09%,164,33.68%,2,0.41%,3,0.62%,0,0%,1,0.21%
36,113,98,86.73%,14,12.39%,1,0.88%,0,0%,0,0%,0,0%
Total,14800,11458,77.42%,3150,21.28%,75,0.51%,52,0.35%,10,0.07%,55,0.37%
,,,,,,,,,,,,,
Ward 11,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,570,393,68.95%,161,28.25%,5,0.88%,2,0.35%,2,0.35%,7,1.23%
2,53,39,73.58%,14,26.42%,0,0%,0,0%,0,0%,0,0%
3,524,467,89.12%,44,8.40%,5,0.95%,3,0.57%,2,0.38%,3,0.57%
4,463,329,71.06%,128,27.65%,1,0.22%,3,0.65%,0,0%,2,0.43%
5,693,530,76.48%,137,19.77%,14,2.02%,4,0.58%,4,0.58%,4,0.58%
6,802,675,84.16%,114,14.21%,5,0.62%,0,0%,0,0%,8,1.00%
7,522,460,88.12%,54,10.34%,3,0.57%,1,0.19%,0,0%,4,0.77%
8,511,371,72.60%,132,25.83%,2,0.39%,1,0.20%,2,0.39%,3,0.59%
9,498,326,65.46%,157,31.53%,3,0.60%,2,0.40%,3,0.60%,7,1.41%
10,568,374,65.85%,186,32.75%,4,0.70%,1,0.18%,1,0.18%,2,0.35%
11,617,416,67.42%,191,30.96%,3,0.49%,1,0.16%,3,0.49%,3,0.49%
12,744,321,43.15%,411,55.24%,5,0.67%,1,0.13%,1,0.13%,5,0.67%
13,707,305,43.14%,388,54.88%,4,0.57%,2,0.28%,1,0.14%,7,0.99%
14,373,210,56.30%,159,42.63%,2,0.54%,0,0%,1,0.27%,1,0.27%
15,215,147,68.37%,64,29.77%,1,0.47%,1,0.47%,1,0.47%,1,0.47%
16,412,249,60.44%,153,37.14%,2,0.49%,2,0.49%,2,0.49%,4,0.97%
17,635,474,74.65%,145,22.83%,9,1.42%,1,0.16%,1,0.16%,5,0.79%
18,465,281,60.43%,174,37.42%,6,1.29%,0,0%,2,0.43%,2,0.43%
19,705,522,74.04%,159,22.55%,8,1.13%,3,0.43%,4,0.57%,9,1.28%
20,405,238,58.77%,162,40.00%,3,0.74%,1,0.25%,0,0%,1,0.25%
21,658,364,55.32%,280,42.55%,4,0.61%,1,0.15%,1,0.15%,8,1.22%
22,664,447,67.32%,205,30.87%,1,0.15%,4,0.60%,2,0.30%,5,0.75%
23,291,166,57.04%,114,39.18%,3,1.03%,2,0.69%,0,0%,6,2.06%
24,585,328,56.07%,245,41.88%,5,0.85%,0,0%,0,0%,7,1.20%
25,673,478,71.03%,178,26.45%,7,1.04%,3,0.45%,1,0.15%,6,0.89%
26,568,374,65.85%,177,31.16%,8,1.41%,4,0.70%,0,0%,5,0.88%
27,226,143,63.27%,77,34.07%,2,0.88%,1,0.44%,0,0%,3,1.33%
28,270,137,50.74%,128,47.41%,1,0.37%,0,0%,1,0.37%,3,1.11%
29,612,332,54.25%,269,43.95%,5,0.82%,0,0%,0,0%,6,0.98%
30,306,185,60.46%,121,39.54%,0,0%,0,0%,0,0%,0,0%
31,560,288,51.43%,268,47.86%,2,0.36%,0,0%,0,0%,2,0.36%
32,243,103,42.39%,134,55.14%,2,0.82%,0,0%,0,0%,4,1.65%
33,668,519,77.69%,137,20.51%,4,0.60%,0,0%,2,0.30%,6,0.90%
34,234,142,60.68%,91,38.89%,0,0%,0,0%,0,0%,1,0.43%
35,126,75,59.52%,49,38.89%,0,0%,0,0%,1,0.79%,1,0.79%
36,256,157,61.33%,94,36.72%,5,1.95%,0,0%,0,0%,0,0%
37,194,147,75.77%,42,21.65%,1,0.52%,1,0.52%,2,1.03%,1,0.52%
38,257,217,84.44%,33,12.84%,5,1.95%,0,0%,0,0%,2,0.78%
Total,17873,11729,65.62%,5775,32.31%,140,0.78%,45,0.25%,40,0.22%,144,0.81%
,,,,,,,,,,,,,
Ward 12,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,486,380,78.19%,90,18.52%,5,1.03%,6,1.23%,0,0%,5,1.03%
2,439,356,81.09%,77,17.54%,3,0.68%,2,0.46%,0,0%,1,0.23%
3,603,494,81.92%,94,15.59%,5,0.83%,3,0.50%,0,0%,7,1.16%
4,561,431,76.83%,110,19.61%,10,1.78%,5,0.89%,1,0.18%,4,0.71%
5,470,317,67.45%,145,30.85%,1,0.21%,1,0.21%,4,0.85%,2,0.43%
6,609,471,77.34%,121,19.87%,6,0.99%,0,0%,2,0.33%,9,1.48%
7,459,405,88.24%,38,8.28%,7,1.53%,4,0.87%,2,0.44%,3,0.65%
8,520,401,77.12%,108,20.77%,6,1.15%,3,0.58%,0,0%,2,0.38%
9,445,338,75.96%,95,21.35%,3,0.67%,4,0.90%,1,0.22%,4,0.90%
10,597,539,90.28%,44,7.37%,7,1.17%,3,0.50%,1,0.17%,3,0.50%
11,548,446,81.39%,98,17.88%,0,0%,4,0.73%,0,0%,0,0%
12,507,408,80.47%,93,18.34%,4,0.79%,2,0.39%,0,0%,0,0%
13,555,439,79.10%,109,19.64%,3,0.54%,2,0.36%,1,0.18%,1,0.18%
14,452,405,89.60%,40,8.85%,1,0.22%,1,0.22%,1,0.22%,4,0.88%
15,437,381,87.19%,49,11.21%,4,0.92%,3,0.69%,0,0%,0,0%
16,445,388,87.19%,48,10.79%,2,0.45%,3,0.67%,0,0%,4,0.90%
17,567,459,80.95%,95,16.75%,3,0.53%,5,0.88%,0,0%,5,0.88%
18,402,352,87.56%,35,8.71%,4,1.00%,6,1.49%,2,0.50%,3,0.75%
19,490,385,78.57%,96,19.59%,4,0.82%,4,0.82%,0,0%,1,0.20%
20,575,469,81.57%,99,17.22%,2,0.35%,2,0.35%,0,0%,3,0.52%
21,522,432,82.76%,79,15.13%,2,0.38%,2,0.38%,0,0%,7,1.34%
22,449,388,86.41%,43,9.58%,12,2.67%,4,0.89%,1,0.22%,1,0.22%
23,528,423,80.11%,95,17.99%,3,0.57%,3,0.57%,0,0%,4,0.76%
Total,11666,9507,81.49%,1901,16.30%,97,0.83%,72,0.62%,16,0.14%,73,0.63%
,,,,,,,,,,,,,
Ward 13,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,405,239,59.01%,159,39.26%,3,0.74%,0,0%,1,0.25%,3,0.74%
2,349,179,51.29%,167,47.85%,1,0.29%,1,0.29%,0,0%,1,0.29%
3,340,279,82.06%,53,15.59%,2,0.59%,2,0.59%,1,0.29%,3,0.88%
4,461,234,50.76%,219,47.51%,5,1.08%,2,0.43%,0,0%,1,0.22%
5,479,380,79.33%,91,19.00%,3,0.63%,0,0%,0,0%,5,1.04%
6,405,191,47.16%,210,51.85%,2,0.49%,0,0%,0,0%,2,0.49%
7,340,244,71.76%,83,24.41%,3,0.88%,5,1.47%,0,0%,5,1.47%
8,318,201,63.21%,116,36.48%,0,0%,1,0.31%,0,0%,0,0%
9,427,328,76.81%,90,21.08%,7,1.64%,2,0.47%,0,0%,0,0%
10,382,154,40.31%,222,58.12%,1,0.26%,0,0%,1,0.26%,4,1.05%
11,456,268,58.77%,187,41.01%,0,0%,0,0%,0,0%,1,0.22%
12,377,264,70.03%,106,28.12%,5,1.33%,0,0%,0,0%,2,0.53%
13,391,301,76.98%,88,22.51%,0,0%,1,0.26%,1,0.26%,0,0%
14,384,283,73.70%,93,24.22%,4,1.04%,1,0.26%,1,0.26%,2,0.52%
15,593,483,81.45%,99,16.69%,6,1.01%,2,0.34%,1,0.17%,2,0.34%
16,293,246,83.96%,46,15.70%,0,0%,0,0%,0,0%,1,0.34%
17,361,223,61.77%,133,36.84%,4,1.11%,0,0%,0,0%,1,0.28%
18,350,184,52.57%,160,45.71%,3,0.86%,0,0%,0,0%,3,0.86%
19,511,436,85.32%,62,12.13%,4,0.78%,7,1.37%,0,0%,2,0.39%
20,299,140,46.82%,157,52.51%,0,0%,0,0%,0,0%,2,0.67%
21,483,228,47.20%,248,51.35%,2,0.41%,0,0%,3,0.62%,2,0.41%
22,468,226,48.29%,234,50.00%,4,0.85%,0,0%,1,0.21%,3,0.64%
23,334,264,79.04%,62,18.56%,1,0.30%,3,0.90%,2,0.60%,2,0.60%
24,414,291,70.29%,120,28.99%,2,0.48%,1,0.24%,0,0%,0,0%
25,417,314,75.30%,98,23.50%,2,0.48%,2,0.48%,0,0%,1,0.24%
26,429,277,64.57%,143,33.33%,2,0.47%,3,0.70%,0,0%,4,0.93%
27,416,266,63.94%,145,34.86%,1,0.24%,0,0%,0,0%,4,0.96%
28,317,246,77.60%,70,22.08%,1,0.32%,0,0%,0,0%,0,0%
29,325,235,72.31%,90,27.69%,0,0%,0,0%,0,0%,0,0%
30,333,290,87.09%,39,11.71%,3,0.90%,0,0%,0,0%,1,0.30%
31,467,231,49.46%,231,49.46%,0,0%,1,0.21%,0,0%,4,0.86%
32,377,158,41.91%,215,57.03%,1,0.27%,0,0%,0,0%,3,0.80%
33,398,194,48.74%,196,49.25%,2,0.50%,1,0.25%,1,0.25%,4,1.01%
34,398,344,86.43%,51,12.81%,1,0.25%,1,0.25%,0,0%,1,0.25%
35,368,276,75.00%,84,22.83%,3,0.82%,1,0.27%,1,0.27%,3,0.82%
36,285,230,80.70%,51,17.89%,1,0.35%,2,0.70%,0,0%,1,0.35%
37,411,333,81.02%,74,18.00%,2,0.49%,2,0.49%,0,0%,0,0%
38,355,176,49.58%,176,49.58%,1,0.28%,0,0%,0,0%,2,0.56%
39,382,298,78.01%,78,20.42%,5,1.31%,0,0%,0,0%,1,0.26%
40,414,281,67.87%,125,30.19%,2,0.48%,2,0.48%,0,0%,4,0.97%
41,486,417,85.80%,62,12.76%,3,0.62%,2,0.41%,0,0%,2,0.41%
42,434,202,46.54%,228,52.53%,0,0%,0,0%,1,0.23%,3,0.69%
43,422,287,68.01%,127,30.09%,5,1.18%,0,0%,0,0%,3,0.71%
44,405,339,83.70%,61,15.06%,2,0.49%,1,0.25%,2,0.49%,0,0%
45,440,261,59.32%,173,39.32%,3,0.68%,2,0.45%,0,0%,1,0.23%
46,466,347,74.46%,107,22.96%,0,0%,6,1.29%,0,0%,6,1.29%
47,481,391,81.29%,81,16.84%,4,0.83%,5,1.04%,0,0%,0,0%
48,367,198,53.95%,165,44.96%,3,0.82%,0,0%,0,0%,1,0.27%
Total,19213,12857,66.92%,6075,31.62%,109,0.57%,59,0.31%,17,0.09%,96,0.50%
,,,,,,,,,,,,,
Ward 14,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,531,233,43.88%,294,55.37%,1,0.19%,0,0%,0,0%,3,0.56%
2,591,471,79.70%,110,18.61%,4,0.68%,1,0.17%,2,0.34%,3,0.51%
3,438,368,84.02%,67,15.30%,2,0.46%,0,0%,0,0%,1,0.23%
